id,pais,cultivo
ID_1708099207588,Guatemala,onion
ID_1708099731950,Guatemala,onion
ID_1708099780441,Guatemala,onion
ID_1708099896309,Guatemala,potato
ID_1708100207411,Guatemala,coffee
ID_1708100564077,Guatemala,onion
ID_1708100671298,Guatemala,coffee
ID_1708100397474,Guatemala,tomato
ID_1708100750587,Nicaragua,maize
ID_1708101043534,Guatemala,onion
ID_1708100122830,Guatemala,tomato
ID_1708100898960,Guatemala,onion
ID_1708101236260,Guatemala,tomato
ID_1708101594460,Guatemala,tomato
ID_1708101801990,Guatemala,maize
ID_1708101952955,Guatemala,maize
ID_1708102175608,Guatemala,maize
ID_1708102953209,Guatemala,maize
ID_1708103702179,Guatemala,tomato
ID_1708104155003,Guatemala,maize
ID_1708104453253,Guatemala,tomato
ID_1708104458188,Guatemala,tomato
ID_1708105951898,Guatemala,tomato
ID_1708106329451,Guatemala,coffee
ID_1708106498428,Nicaragua,rice
ID_1708106835820,Guatemala,tomato
ID_1708107636610,Nicaragua,rice
ID_1708107758902,Nicaragua,rice
ID_1708107846512,Nicaragua,rice
ID_1708108185665,Nicaragua,rice
ID_1708108339924,Nicaragua,rice
ID_1708108992346,Nicaragua,rice
ID_1708109066853,Nicaragua,rice
ID_1708109202347,Nicaragua,rice
ID_1708109162195,Guatemala,maize
ID_1708109254556,Nicaragua,rice
ID_1708109337964,Nicaragua,rice
ID_1708109408088,Guatemala,maize
ID_1708109542079,Nicaragua,rice
ID_1708109639030,Nicaragua,rice
ID_1708109684042,Nicaragua,rice
ID_1708109771415,Nicaragua,rice
ID_1708109841470,Nicaragua,rice
ID_1708109916996,Nicaragua,rice
ID_1708109628106,Guatemala,maize
ID_1708110065524,Nicaragua,rice
ID_1708110189069,Nicaragua,rice
ID_1708110273269,Nicaragua,rice
ID_1708110407823,Nicaragua,rice
ID_1708110485408,Guatemala,default
ID_1708111856076,Guatemala,default
ID_1708111974706,Guatemala,default
ID_1708112075315,El Salvador,coffee
ID_1708112256424,El Salvador,maize
ID_1708112354138,El Salvador,maize
ID_1708112540324,Nicaragua,tomato
ID_1708113943288,Nicaragua,tomato
ID_1708114496875,El Salvador,maize
ID_1708114582813,Nicaragua,tomato
ID_1708114809824,Nicaragua,tomato
ID_1708114774199,Nicaragua,tomato
ID_1708115034464,Guatemala,maize
ID_1708114917950,Guatemala,cabbage
ID_1708115108042,Nicaragua,rice
ID_1708116182125,Nicaragua,onion
ID_1708116530262,Guatemala,coffee
ID_1708116907029,Guatemala,maize
ID_1708116907029,Guatemala,maize
ID_1708117189709,Guatemala,default
ID_1708117557431,Guatemala,potato
ID_1708118727861,Guatemala,coffee
ID_1708118831856,Nicaragua,rice
ID_1708119585440,Guatemala,maize
ID_1708120714571,Nicaragua,coffee
ID_1708120623557,Guatemala,tomato
ID_1708121380947,Guatemala,bean
ID_1708122907158,Guatemala,bean
ID_1708122140887,Nicaragua,coffee
ID_1708123579437,Guatemala,tomato
ID_1708123464605,Nicaragua,rice
ID_1708124780050,Colombia,maize
ID_1708126954764,Guatemala,onion
ID_1708128387285,Nicaragua,maize
ID_1708128054094,Guatemala,tomato
ID_1708128054094,Guatemala,tomato
ID_1708129137520,Guatemala,onion
ID_1708129484420,Nicaragua,tomato
ID_1708129831456,Nicaragua,tomato
ID_1708130287439,Nicaragua,tomato
ID_1708131648800,Guatemala,maize
ID_1708110991844,Guatemala,cucumber
ID_1708132434072,Guatemala,tomato
ID_1708132663196,Guatemala,maize
ID_1708182631885,Nicaragua,default
ID_1708181914403,Guatemala,coffee
ID_1708183656631,Guatemala,coffee
ID_1708184619318,Nicaragua,pepper
ID_1708184778747,Guatemala,coffee
ID_1708185227847,Nicaragua,maize
ID_1708185489202,Nicaragua,pepper
ID_1708184556868,Guatemala,coffee
ID_1708185622894,Nicaragua,pepper
ID_1708185757417,Nicaragua,tomato
ID_1708185960207,Nicaragua,tomato
ID_1708185687137,Guatemala,coffee
ID_1708202960420,Guatemala,coffee
ID_1708202781671,Nicaragua,tomato
ID_1708206122273,Nicaragua,tomato
ID_1708212967402,Nicaragua,tomato
ID_1708213165892,Nicaragua,maize
ID_1708214985209,Colombia,coffee
ID_1708216916075,Nicaragua,maize
ID_1708217062566,Nicaragua,maize
ID_1708217248035,Nicaragua,tomato
ID_1708263220819,Costa Rica,pepper
ID_1708263975259,Costa Rica,tomato
ID_1708264264900,Costa Rica,pepper
ID_1708264868690,Costa Rica,pepper
ID_1708266846204,Costa Rica,coffee
ID_1708290929262,Nicaragua,pepper
ID_1708291110748,Nicaragua,pepper
ID_1708301659200,Panamá,onion
ID_1708349647417,Colombia,maize
ID_1708349786317,Colombia,maize
